code,name
1206317000,Tupi
1206318000,Santo Niño
1206319000,Lake Sebu
1206501000,Bagumbayan
1206502000,Columbio
1206503000,Esperanza
1206504000,Isulan 
1206505000,Kalamansig
1206506000,Lebak
1206507000,Lutayan
1206508000,Lambayong
1206509000,Palimbang
1206510000,President Quirino
1206511000,City of Tacurong
1206512000,Sen. Ninoy Aquino
1208001000,Alabel 
1208002000,Glan
1208003000,Kiamba
1208004000,Maasim
1208005000,Maitum
1208006000,Malapatan
1208007000,Malungon
1230800000,City of General Santos
1380100000,City of Caloocan
1380200000,City of Las Piñas
1380300000,City of Makati
1380400000,City of Malabon
1380500000,City of Mandaluyong
1380600000,City of Manila
1380601000,Tondo I/II
1380602000,Binondo
1380603000,Quiapo
1380604000,San Nicolas
1380605000,Santa Cruz
1380606000,Sampaloc
1380607000,San Miguel
1380608000,Ermita
1380609000,Intramuros
1380610000,Malate
1380611000,Paco
1380612000,Pandacan
1380613000,Port Area
1380614000,Santa Ana
1380700000,City of Marikina
1380800000,City of Muntinlupa
1380900000,City of Navotas
1381000000,City of Parañaque
1381100000,Pasay City
1381200000,City of Pasig
1381300000,Quezon City
1381400000,City of San Juan
1381500000,City of Taguig
1381600000,City of Valenzuela
1381701000,Pateros
1400101000,Bangued 
1400102000,Boliney
1400103000,Bucay
1400104000,Bucloc
1400105000,Daguioman
1400106000,Danglas
1400107000,Dolores
1400108000,La Paz
1400109000,Lacub
1400110000,Lagangilang
1400111000,Lagayan
1400112000,Langiden
1400113000,Licuan-Baay
1400114000,Luba
1400115000,Malibcong
1400116000,Manabo
1400117000,Peñarrubia
1400118000,Pidigan
1400119000,Pilar
1400120000,Sallapadan
1400121000,San Isidro
1400122000,San Juan
1400123000,San Quintin
1400124000,Tayum
1400125000,Tineg
1400126000,Tubo
1400127000,Villaviciosa
1401101000,Atok
1401103000,Bakun
1401104000,Bokod
1401105000,Buguias
1401106000,Itogon
1401107000,Kabayan
1401108000,Kapangan
1401109000,Kibungan
1401110000,La Trinidad 
1401111000,Mankayan
1401112000,Sablan
1401113000,Tuba
1401114000,Tublay
1402701000,Banaue
1402702000,Hungduan
1402703000,Kiangan
1402704000,Lagawe 
1402705000,Lamut
1402706000,Mayoyao
1402707000,Alfonso Lista
1402708000,Aguinaldo
1402709000,Hingyon
1402710000,Tinoc
1402711000,Asipulo
1403201000,Balbalan
1403206000,Lubuagan
1403208000,Pasil
1403209000,Pinukpuk
1403211000,Rizal
1403213000,City of Tabuk 
1403214000,Tanudan
1403215000,Tinglayan
1404401000,Barlig
